TICKER,RECOMMENDATION,BUY,SELL,NEUTRAL
PANW,NEUTRAL,7,9,10
COP,NEUTRAL,7,9,10
ORCL,NEUTRAL,7,9,10
RMD,SELL,7,10,9
F,SELL,7,10,9
PPG,SELL,7,11,8
DLR,SELL,6,10,10
SNA,SELL,6,10,10
SPGI,SELL,6,11,9
BXP,SELL,6,10,10
PNC,SELL,6,11,9
T,SELL,6,10,10
MDLZ,SELL,6,10,10
PAYC,SELL,6,14,6
MCO,SELL,6,10,10
GOOGL,SELL,6,11,9
MCHP,SELL,6,10,10
FRT,SELL,6,12,8
GOOG,SELL,6,11,9
CVX,SELL,6,10,10
INTC,SELL,6,11,9
LMT,SELL,6,11,9
ADI,SELL,6,11,9
MS,SELL,6,11,9
SRE,SELL,5,12,9
TDY,SELL,5,11,10
ZION,SELL,5,12,9
COO,SELL,5,11,10
MDT,SELL,5,11,10
BKNG,SELL,5,12,9
TER,SELL,5,11,10
UPS,SELL,5,11,10
CFG,SELL,5,11,10
PNW,SELL,5,12,9
EXPE,SELL,5,11,10
APD,SELL,5,11,10
EXR,SELL,5,11,10
PCG,SELL,5,12,9
FDX,SELL,5,12,9
XRAY,SELL,5,12,9
GEN,SELL,5,12,9
WBA,SELL,4,14,8
KIM,SELL,4,12,10
KHC,SELL,4,13,9
BA,SELL,4,13,9
DXCM,SELL,4,13,9
MSCI,SELL,4,12,10
PSA,SELL,4,12,10
WY,SELL,4,12,10
CHRW,SELL,4,12,10
HUM,SELL,4,13,9
ON,SELL,4,13,9
MGM,SELL,4,13,9
FMC,SELL,4,12,10
ADBE,SELL,4,12,10
TTWO,SELL,3,14,9
WBD,SELL,3,15,8
SBUX,SELL,3,14,9
MMM,SELL,3,13,10
SWK,SELL,3,13,10
MAA,SELL,3,13,10
ESS,SELL,3,13,10
EQR,SELL,3,14,9
GNRC,SELL,3,15,8
CMA,SELL,3,13,10
HAL,SELL,3,13,10
PEAK,SELL,3,15,8
CMCSA,SELL,3,13,10
CNP,SELL,3,13,10
IP,SELL,3,13,10
IVZ,SELL,3,14,9
AVB,SELL,3,14,9
MKTX,SELL,3,14,9
LH,SELL,3,13,10
DGX,SELL,3,14,9
REG,SELL,3,13,10
AKAM,SELL,3,14,9
PARA,SELL,3,15,8
APTV,SELL,3,13,10
AAPL,SELL,3,13,10
AWK,SELL,3,15,8
AMT,SELL,2,15,9
VRSN,SELL,2,15,9
CCI,SELL,2,15,9
ED,SELL,2,16,8
CAG,SELL,2,14,10
WST,SELL,2,15,9
AMGN,SELL,2,14,10
ATO,SELL,2,14,10
APA,SELL,2,14,10
CPB,SELL,2,15,9
CZR,SELL,2,14,10
BWA,SELL,2,14,10
EXPD,SELL,2,15,9
WEC,SELL,2,15,9
UNH,SELL,2,16,8
PODD,SELL,2,16,8
FCX,SELL,2,14,10
GILD,SELL,2,14,10
FE,SELL,2,14,10
NEM,SELL,2,15,9
SLB,SELL,2,14,10
O,SELL,2,15,9
PM,SELL,2,15,9
LW,SELL,2,15,9
GIS,SELL,2,15,9
TFX,STRONG_SELL,1,16,9
NEE,STRONG_SELL,1,16,9
ADM,SELL,1,15,10
PEP,SELL,1,15,10
WHR,STRONG_SELL,1,16,9
KVUE,STRONG_SELL,1,16,9
PFE,STRONG_SELL,1,16,9
XEL,STRONG_SELL,1,16,9
AMCR,SELL,1,15,10
LNT,STRONG_SELL,1,16,9
SJM,STRONG_SELL,1,16,9
AES,STRONG_SELL,1,16,9
BIIB,SELL,1,15,10
ETSY,SELL,1,15,10
KDP,STRONG_SELL,1,16,9
HSY,SELL,1,15,10
UDR,SELL,1,15,10
DUK,STRONG_SELL,1,17,8
FSLR,SELL,1,15,10
VICI,STRONG_SELL,1,16,9
VFC,SELL,1,15,10
CSCO,SELL,1,15,10
CHTR,SELL,1,15,10
HPE,STRONG_SELL,0,16,10
FOX,STRONG_SELL,0,16,10
SBAC,STRONG_SELL,0,16,10
DE,STRONG_SELL,0,16,10
IFF,STRONG_SELL,0,16,10
CPT,STRONG_SELL,0,16,10
FOXA,STRONG_SELL,0,16,10
VTR,STRONG_SELL,0,16,10
SO,STRONG_SELL,0,17,9
EG,STRONG_SELL,0,16,10
