Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2017-11-15,66.48231368915324,66.8965640049074,66.12586335003348,66.29927062988281,1813800,0.0,0.0,AME
2017-11-16,66.69425799437781,67.85030164854173,66.4726791631908,67.5516586303711,1985100,0.0,0.0,AME
2017-11-17,67.38786550324669,67.85028727693285,67.13739408619706,67.68651580810547,2939400,0.0,0.0,AME
2017-11-20,67.80212616229214,68.35124796861706,67.63835466828816,68.0718765258789,1761800,0.0,0.0,AME
2017-11-21,68.21637414861414,68.63062443407159,67.6287165959897,67.77322387695312,1473700,0.0,0.0,AME
2017-11-22,67.85028698067134,67.98515846616908,67.48420828431243,67.66724395751953,1000200,0.0,0.0,AME
2017-11-24,67.74431547778815,67.95625848355452,67.53237247202179,67.66724395751953,280800,0.0,0.0,AME
2017-11-27,67.74433319138303,68.20675508396283,67.6576332208693,68.01407623291016,911500,0.0,0.0,AME
2017-11-28,68.22601356776431,69.39169295649562,68.1778420215576,69.36279296875,1510600,0.0,0.0,AME
2017-11-29,69.44948308764383,69.44948308764383,68.6595183514737,69.05450439453125,1357400,0.0,0.0,AME
2017-11-30,69.15083956667455,70.38395452540908,69.15083956667455,70.02751159667969,1569700,0.0,0.0,AME
2017-12-01,69.94080756971682,70.12385060651397,67.98516353426726,69.4494857788086,1321700,0.0,0.0,AME
2017-12-04,69.95044914622717,70.26836370492863,69.11231276872674,69.16048431396484,988900,0.0,0.0,AME
2017-12-05,69.16047259577438,69.41126578103199,68.35022787917876,68.53350067138672,1117600,0.09,0.0,AME
2017-12-06,68.56244888587402,69.02544384489295,68.36952818697264,68.52386474609375,729300,0.0,0.0,AME
2017-12-07,68.48527500173371,68.92898153413732,68.234481793272,68.87110900878906,1103600,0.0,0.0,AME
2017-12-08,69.16045914837521,69.36302764730807,68.82285724876957,69.19904327392578,865500,0.0,0.0,AME
2017-12-11,69.28587646865367,69.54631018133057,69.07366740542071,69.36304473876953,953500,0.0,0.0,AME
2017-12-12,69.37267991477906,69.7199297444075,69.25693487768338,69.57524108886719,1060900,0.0,0.0,AME
2017-12-13,69.49808935510083,69.73923469310024,69.14119160555988,69.17012786865234,740800,0.0,0.0,AME
2017-12-14,69.40161144849247,69.58488422364252,68.42738977647541,68.4466781616211,807000,0.0,0.0,AME
2017-12-15,68.6492396168256,68.88074439458971,68.52384671491438,68.69747161865234,3172300,0.0,0.0,AME
2017-12-18,68.86145528754336,69.7006436296921,68.86145528754336,68.96755981445312,1240200,0.0,0.0,AME
2017-12-19,69.26658324314782,69.75852178408101,68.8035883239402,69.50772857666016,1519700,0.0,0.0,AME
2017-12-20,69.58490317490069,70.09613015095027,69.48844650456209,69.9128646850586,1553000,0.0,0.0,AME
2017-12-21,70.22153756553878,70.34693051377558,69.75853519812772,70.04791259765625,681600,0.0,0.0,AME
2017-12-22,70.30832440708646,70.35655641166557,69.70064088891134,70.02859497070312,565500,0.0,0.0,AME
2017-12-26,70.13472600424613,70.13472600424613,69.78747604569456,69.97074890136719,235500,0.0,0.0,AME
2017-12-27,70.12505900382497,70.33726807164246,69.88391367388174,70.09612274169922,507500,0.0,0.0,AME
2017-12-28,70.32760847845167,70.3468968615791,69.49806817975235,70.28902435302734,570400,0.0,0.0,AME
2017-12-29,70.4144327676331,70.47230528894572,69.8067492163373,69.90320587158203,886600,0.0,0.0,AME
2018-01-02,70.30832722521774,70.69416119980376,69.58489128255806,70.17328643798828,791800,0.0,0.0,AME
2018-01-03,69.86462175933951,70.79061889648438,69.86462175933951,70.79061889648438,1118500,0.0,0.0,AME
2018-01-04,71.06071594755437,71.86132034308142,70.99319553824321,71.3597412109375,1166500,0.0,0.0,AME
2018-01-05,71.49476622130568,71.668391143883,70.91601157326724,71.17645263671875,2135000,0.0,0.0,AME
2018-01-08,71.11858593212803,71.70697378319284,70.60735163665916,71.64910125732422,1642300,0.0,0.0,AME
2018-01-09,71.56229350438366,71.72627056949942,71.13787535074594,71.37902069091797,1166500,0.0,0.0,AME
2018-01-10,71.17643761646109,71.311478376727,70.85812409904739,71.10891723632812,789000,0.0,0.0,AME
2018-01-11,71.14753954021234,71.93849614298894,71.01249870748268,71.92884826660156,930400,0.0,0.0,AME
2018-01-12,72.2375040178177,72.7487310075483,71.95777451492933,72.5365219116211,738700,0.0,0.0,AME
2018-01-16,72.77766528187519,72.94164971644108,71.94812467095497,72.25679779052734,773300,0.0,0.0,AME
2018-01-17,72.71011800411152,73.44320167381395,72.39181184574542,73.33709716796875,1297600,0.0,0.0,AME
2018-01-18,73.65543137471983,73.73259964776855,73.11526818172189,73.37570190429688,1174100,0.0,0.0,AME
2018-01-19,73.70365275747521,74.5814178195276,73.70365275747521,74.25346374511719,1649700,0.0,0.0,AME
2018-01-22,74.079866607885,74.21490743728903,73.40465510169157,73.79048919677734,792300,0.0,0.0,AME
2018-01-23,73.77117945683604,74.6392967206095,73.64577918069502,74.27275848388672,823500,0.0,0.0,AME
2018-01-24,74.39815726875709,74.61036634434427,73.40463965048231,74.17630767822266,806900,0.0,0.0,AME
2018-01-25,74.62964982302114,74.79362686022634,73.67470913987678,74.25346374511719,695200,0.0,0.0,AME
2018-01-26,74.6296547194099,75.32414704475653,74.0605479493637,75.31450653076172,775300,0.0,0.0,AME
2018-01-29,74.9865447891242,75.3916745096587,74.72611108801075,74.74539947509766,1029700,0.0,0.0,AME
2018-01-30,74.5910792629068,75.14089035057953,73.83870697021484,73.83870697021484,1638400,0.0,0.0,AME
2018-01-31,74.02197551441233,74.50426622053027,73.24066692543637,73.59756469726562,1612100,0.0,0.0,AME
2018-02-01,74.57175818138549,75.72925985007016,73.45284799674323,75.1505126953125,1625800,0.0,0.0,AME
2018-02-02,75.08300784344463,75.5942421344653,74.42709959818286,74.51390838623047,1949800,0.0,0.0,AME
2018-02-05,74.06056970977511,74.71648545352112,71.26328176264738,71.28257751464844,2557600,0.0,0.0,AME
2018-02-06,69.84532576582198,72.65225313224849,69.0447216318026,72.06385803222656,2698900,0.0,0.0,AME
2018-02-07,71.62016450109564,72.34360050615722,71.475475828249,71.53335571289062,1569100,0.0,0.0,AME
2018-02-08,71.50441636571097,71.8516662576338,69.45950851235663,69.49809265136719,1594500,0.0,0.0,AME
2018-02-09,70.15398217710761,70.3372475702109,68.63959024083579,69.73921203613281,2040000,0.0,0.0,AME
2018-02-12,70.46267134193299,71.69733430614626,70.06718945164845,71.37902069091797,1739800,0.0,0.0,AME
2018-02-13,71.24398591716785,71.91918998311037,70.90638388419659,71.78414916992188,981300,0.0,0.0,AME
2018-02-14,71.42723828940447,72.21819455119571,71.22466976846488,72.06385803222656,902200,0.0,0.0,AME
2018-02-15,72.68119635523688,73.18278273078639,71.90953576394905,73.15383911132812,1162000,0.0,0.0,AME
2018-02-16,72.88376611333182,74.21489311656083,72.74872530998566,73.83870697021484,1390600,0.0,0.0,AME
2018-02-20,73.44321592646688,74.3306289119599,72.96092530054621,73.03809356689453,1143800,0.0,0.0,AME
2018-02-21,73.13455554745615,74.37886633606914,73.13455554745615,73.64578247070312,1261500,0.0,0.0,AME
2018-02-22,73.78083166452772,74.40781106708924,73.58791832181909,73.76154327392578,744600,0.0,0.0,AME
